Control_Word,Category,Action,Function
margrsxn,Section Formatting Properties,Value,null
margt,Document Formatting Properties,Value,null
margtsxn,Section Formatting Properties,Value,null
mhtmltag,Control Words Introduced bv Other Microsoft Products,Destination,null
min,Information Group,Value,null
mo,Information Group,Value,null
msmcap,Document Formatting Properties,Flag,null
nestcell,Table Definitions,Symbol,null
nestrow,Table Definitions,Symbol,null
nesttableprops,Table Definitions,Destination,null
newtblstyruls,Document Formatting Properties,Flag,null
nextfile,Document Formatting Properties,Destination,null
Njpegblip,Pictures,Flag,null
noafcnsttbl,Document Formatting Properties,Flag,null
nobrkwrptbl,Document Formatting Properties,Flag,null
nocolbal,Document Formatting Properties,Flag,null
nocompatoptions,Document Formatting Properties,Flag,null
nocwrap,Paragraph Formatting Properties,Flag,null
nocxsptable,Document Formatting Properties,Flag,null
nocxsptable,Document Formatting Properties,Flag,null
noextrasprl,Document Formatting Properties,Flag,null
nofchars,Information Group,Value,null
nofcharsws,Information Group,Value,null
nofpages,Information Group,Value,null
nofwords,Information Group,Value,null
nogrowautofit,Document Formatting Properties,Flag,null
noindnmbrts,Document Formatting Properties,Flag,null
noindnmbrts,Document Formatting Properties,Flag,null
nojkernpunct,Document Formatting Properties,Flag,null
nolead,Document Formatting Properties,Flag,null
noline,Paragraph Formatting Properties,Flag,null
nolnhtadjtbl,Document Formatting Properties,Flag,null
nonesttables,Table Definitions,Destination,null
nonshppict,Pictures,Flag,null
nooverflow,Paragraph Formatting Properties,Flag,null
noproof,Font (Character) Formatting Properties,Flag,null
nosectexpand,Font (Character) Formatting Properties,Flag,null
nosnaplinegrid,Paragraph Formatting Properties,Flag,null
nospaceforul,Document Formatting Properties,Flag,null
nosupersub,Font (Character) Formatting Properties,Flag,null
notabind,Document Formatting Properties,Flag,null
notbrkcnstfrctbl,Document Formatting Properties,Flag,null
notcvasp,Document Formatting Properties,Flag,null
notvatxbx,Document Formatting Properties,Flag,null
noultrlspc,Document Formatting Properties,Flag,null
nowidctlpar,Paragraph Formatting Properties,Flag,null
nowrap,Positioned Objects and Frames,Flag,null
nowwrap,Paragraph Formatting Properties,Flag,null
noxlattoyen,Document Formatting Properties,Flag,null
objalias,Objects,Destination,null
objalign,Objects,Value,null
objattph,Objects,Flag,null
objautlink,Objects,Flag,null
objclass,Objects,Destination,null
objcropb,Objects,Value,null
objcropl,Objects,Value,null
objcropr,Objects,Value,null
objcropt,Objects,Value,null
objdata,Objects,Destination,null
object,Objects,Destination,null
objemb,Objects,Flag,null
objh,Objects,Value,null
objhtml,Objects,Flag,null
objicemb,Objects,Flag,null
objlink,Objects,Flag,null
objlock,Objects,Flag,null
objname,Objects,Destination,null
objocx,Objects,Flag,null
objpub,Objects,Flag,null
objscalex,Objects,Value,null
objscaley,Objects,Value,null
objsect,Objects,Destination,null
objsetsize,Objects,Flag,null
objsub,Objects,Flag,null
objtime,Objects,Destination,null
objtransy,Objects,Value,null
objupdate,Objects,Flag,null
objw,Objects,Value,null
oldas,Document Formatting Properties,Flag,null
oldcprops,Track Changes (Revision Marks),Destination,null
oldlinewrap,Document Formatting Properties,Flag,null
oldpprops,Track Changes (Revision Marks),Destination,null
oldsprops,Track Changes (Revision Marks),Destination,null
oldtprops,Track Changes (Revision Marks),Destination,null
operator,Information Group,Destination,null
otblrul,Document Formatting Properties,Flag,null
outl,Font (Character) Formatting Properties,Toggle,toggle
outlinelevel,Paragraph Text,Value,null
overlay,Paragraph Text,Flag,null
page,Special Characters,Symbol,null
pagebb,Paragraph Formatting Properties,Flag,null
panose,Font Table,Destination,null
paperh,Document Formatting Properties,Value,null
paperw,Document Formatting Properties,Value,null
par,Special Characters,Symbol,null
pararsid,Track Changes (Revision Marks),Value,null
pard,Paragraph Formatting Properties,Flag,null
pc,Character Set,Flag,null
pca,Character Set,Flag,null
pgbrdrb,Document Formatting Properties,Flag,null
pgbrdrfoot,Document Formatting Properties,Flag,null
pgbrdrhead,Document Formatting Properties,Flag,null
pgbrdrl,Document Formatting Properties,Flag,null
pgbrdropt,Document Formatting Properties,Value,null
pgbrdrr,Document Formatting Properties,Flag,null
pgbrdrsnap,Document Formatting Properties,Flag,null
pgbrdrt,Document Formatting Properties,Flag,null
pghsxn,Section Formatting Properties,Value,null
pgnbidia,Section Formatting Properties,Flag,null
pgnbidib,Section Formatting Properties,Flag,null
pgnchosung,Bullets and Numbering,Flag,null
pgncnum,Bullets and Numbering,Flag,null
pgncont,Section Formatting Properties,Flag,null
pgndbnum,Section Formatting Properties,Flag,null
pgndbnumd,Section Formatting Properties,Flag,null
pgndbnumk,Bullets and Numbering,Flag,null
pgndbnumt,Bullets and Numbering,Flag,null
pgndec,Section Formatting Properties,Flag,null
pgndecd,Section Formatting Properties,Flag,null
pgnganada,Bullets and Numbering,Flag,null
pgngbnum,Bullets and Numbering,Flag,null
pgngbnumd,Bullets and Numbering,Flag,null
pgngbnumk,Bullets and Numbering,Flag,null
pgngbnuml,Bullets and Numbering,Flag,null
pgnhindia,Section Formatting Properties,Flag,null
pgnhindib,Section Formatting Properties,Flag,null
pgnhindic,Section Formatting Properties,Flag,null
pgnhindid,Section Formatting Properties,Flag,null
pgnhn,Section Formatting Properties,Value,null
pgnhnsc,Section Formatting Properties,Flag,null
pgnhnsh,Section Formatting Properties,Flag,null
pgnhnsm,Section Formatting Properties,Flag,null
pgnhnsn,Section Formatting Properties,Flag,null
pgnhnsp,Section Formatting Properties,Flag,null
pgnid,Section Formatting Properties,Value,null
pgnlcltr,Section Formatting Properties,Flag,null
pgnlcrm,Section Formatting Properties,Flag,null
pgnrestart,Section Formatting Properties,Flag,null
pgnstart,Document Formatting Properties,Value,null
pgnstarts,Section Formatting Properties,Value,null
pgnthaia,Section Formatting Properties,Flag,null
pgnthaib,Section Formatting Properties,Flag,null
pgnthaic,Section Formatting Properties,Flag,null
pgnucltr,Section Formatting Properties,Flag,null
pgnucrm,Section Formatting Properties,Flag,null
pgnvieta,Section Formatting Properties,Flag,null
pgnx,Section Formatting Properties,Value,null
pgny,Section Formatting Properties,Value,null
pgnzodiac,Bullets and Numbering,Flag,null
pgnzodiacd,Bullets and Numbering,Flag,null
pgnzodiacl,Bullets and Numbering,Flag,null
pgp,Paragraph Group Properties,Destination,null
pgptbl,Paragraph Group Properties,Destination,null
pgwsxn,Section Formatting Properties,Value,null
phcol,Positioned Objects and Frames,Flag,null
phmrg,Positioned Objects and Frames,Flag,null
phpg,Positioned Objects and Frames,Flag,null
picbmp,Pictures,Flag,null
picbpp,Pictures,Value,null
piccropb,Pictures,Value,null
piccropl,Pictures,Value,null
piccropr,Pictures,Value,null
piccropt,Pictures,Value,null
pich,Pictures,Value,null
pichgoal,Pictures,Value,null
picprop,Pictures,Destination,null
picscaled,Pictures,Flag,null
picscalex,Pictures,Value,null
picscaley,Pictures,Value,null
pict,Pictures,Destination,null
picw,Pictures,Value,null
picwgoal,Pictures,Value,null
plain,Font (Character) Formatting Properties,Flag,null
pmmetafile,Pictures,Value,null
pn,Bullets and Numbering,Destination,null
pnacross,Bullets and Numbering,Flag,null
pnaiu,Bullets and Numbering,Flag,null
pnaiud,Bullets and Numbering,Flag,null
pnaiueo,Bullets and Numbering,Flag,null
pnaiueod,Bullets and Numbering,Flag,null
pnb,Bullets and Numbering,Toggle,toggle
pnbidia,Bullets and Numbering,Flag,null
pnbidib,Bullets and Numbering,Flag,null
pncaps,Bullets and Numbering,Toggle,toggle
pncard,Bullets and Numbering,Flag,null
pncf,Bullets and Numbering,Value,null
pnchosung,Bullets and Numbering,Flag,null
pncnum,Bullets and Numbering,Flag,null
pndbnum,Bullets and Numbering,Flag,null
pndbnumd,Bullets and Numbering,Flag,null
pndbnumk,Bullets and Numbering,Flag,null
pndbnuml,Bullets and Numbering,Flag,null
pndbnumt,Bullets and Numbering,Flag,null
pndec,Bullets and Numbering,Flag,null
pndecd,Bullets and Numbering,Flag,null
pnf,Bullets and Numbering,Value,null
pnfs,Bullets and Numbering,Value,null
pnganada,Bullets and Numbering,Flag,null
pnganada,Bullets and Numbering,Flag,null
pngblip,Pictures,Flag,null
pngbnum,Bullets and Numbering,Flag,null
pngbnumd,Bullets and Numbering,Flag,null
pngbnumk,Bullets and Numbering,Flag,null
pngbnuml,Bullets and Numbering,Flag,null
pnhang,Bullets and Numbering,Flag,null
pni,Bullets and Numbering,Toggle,toggle
pnindent,Bullets and Numbering,Value,null
pniroha,Bullets and Numbering,Flag,null
pnirohad,Bullets and Numbering,Flag,null
pnlcltr,Bullets and Numbering,Flag,null
pnlcrm,Bullets and Numbering,Flag,null
pnlvl,Bullets and Numbering,Value,null
pnlvlblt,Bullets and Numbering,Flag,null
pnlvlbody,Bullets and Numbering,Flag,null
pnlvlcont,Bullets and Numbering,Flag,null
pnnumonce,Bullets and Numbering,Flag,null
pnord,Bullets and Numbering,Flag,null
pnordt,Bullets and Numbering,Flag,null
pnprev,Bullets and Numbering,Flag,null
pnqc,Bullets and Numbering,Flag,null
pnql,Bullets and Numbering,Flag,null
pnqr,Bullets and Numbering,Flag,null
pnrauth,Paragraph Text,Value,null
pnrdate,Paragraph Text,Value,null
pnrestart,Bullets and Numbering,Flag,null
pnrnfc,Paragraph Text,Value,null
pnrnot,Paragraph Text,Flag,null
pnrpnbr,Paragraph Text,Value,null
pnrrgb,Paragraph Text,Value,null
pnrstart,Paragraph Text,Value,null
pnrstop,Paragraph Text,Value,null
pnrxst,Paragraph Text,Value,null
pnscaps,Bullets and Numbering,Toggle,toggle
pnseclvl,Bullets and Numbering,Destination,null
pnsp,Bullets and Numbering,Value,null
pnstart,Bullets and Numbering,Value,null
pnstrike,Bullets and Numbering,Toggle,toggle
pntext,Bullets and Numbering,Destination,null
pntxta,Bullets and Numbering,Destination,null
pntxtb,Bullets and Numbering,Destination,null
pnucltr,Bullets and Numbering,Flag,null
pnucrm,Bullets and Numbering,Flag,null
pnul,Bullets and Numbering,Toggle,toggle
pnuld,Bullets and Numbering,Flag,null
pnuldash,Bullets and Numbering,Flag,null
pnuldashd,Bullets and Numbering,Flag,null
pnuldashdd,Bullets and Numbering,Flag,null
pnuldb,Bullets and Numbering,Flag,null
pnulhair,Bullets and Numbering,Flag,null
pnulnone,Bullets and Numbering,Flag,null
pnulth,Bullets and Numbering,Flag,null
pnulw,Bullets and Numbering,Flag,null
pnulwave,Bullets and Numbering,Flag,null
pnzodiac,Bullets and Numbering,Flag,null
pnzodiacd,Bullets and Numbering,Flag,null
pnzodiacl,Bullets and Numbering,Flag,null
posnegx,Positioned Objects and Frames,Value,null
posnegy,Positioned Objects and Frames,Value,null
posx,Positioned Objects and Frames,Value,null
posxc,Positioned Objects and Frames,Flag,null
posxi,Positioned Objects and Frames,Flag,null
posxl,Positioned Objects and Frames,Flag,null
posxo,Positioned Objects and Frames,Flag,null
posxr,Positioned Objects and Frames,Flag,null
posy,Positioned Objects and Frames,Value,null
posyb,Positioned Objects and Frames,Flag,null
posyc,Positioned Objects and Frames,Flag,null
posyil,Positioned Objects and Frames,Flag,null
posyin,Paragraph Text,Flag,null
posyout,Paragraph Text,Flag,null
posyt,Positioned Objects and Frames,Flag,null
prcolbl,Document Formatting Properties,Flag,null
printdata,Document Formatting Properties,Flag,null
printim,Information Group,Destination,null
private,Document Formatting Properties,Destination,null
propname,Information Group,Value,null
proptype,Information Group,Value,null
protend,Protection Exceptions,Destination,null
protlevel,Document Formatting Properties,Value,null
protstart,Protection Exceptions,Destination,null
protusertbl,User Protection Information,Destination,null
psover,Document Formatting Properties,Flag,null
psz,Document Formatting Properties,Value,null
pubauto,Macintosh Edition Manager Publisher Objects,Flag,null
pvmrg,Positioned Objects and Frames,Flag,null
pvpara,Positioned Objects and Frames,Flag,null
pvpg,Positioned Objects and Frames,Flag,null
pwd,Control Words Introduced bv Other Microsoft Products,Destination,null
pxe,Index Entries,Destination,null
qc,Paragraph Formatting Properties,Flag,null
qd,Paragraph Formatting Properties,Flag,null
qi,Paragraph Formatting Properties,Flag,null
qj,Paragraph Formatting Properties,Flag,null
qk,Paragraph Formatting Properties,Flag,null
qmspace,Special Characters,Symbol,null
qr,Paragraph Formatting Properties,Flag,null
qt,Paragraph Formatting Properties,Flag,null
rawbgdkbdiag,Table Definitions,Flag,null
rawclbgbdiag,Table Definitions,Flag,null
rawclbgcross,Table Definitions,Flag,null
rawclbgdcross,Table Definitions,Flag,null
rawclbgdkcross,Table Definitions,Flag,null
rawclbgdkdcross,Table Definitions,Flag,null
rawclbgdkfdiag,Table Definitions,Flag,null
rawclbgdkhor,Table Definitions,Flag,null
rawclbgdkvert,Table Definitions,Flag,null
rawclbgfdiag,Table Definitions,Flag,null
rawclbghoriz,Table Definitions,Flag,null
rawclbgvert,Table Definitions,Flag,null
rdblquote,Special Characters,Symbol,null
readprot,Document Formatting Properties,Flag,null
red,Color Table,Value,null
relyonvml,Document Formatting Properties,Value,null
rempersonalinfo,Document Formatting Properties,Flag,null
result,Objects,Destination,null
revauth,Font (Character) Formatting Properties,Value,null
revauthdel,Character Text,Value,null
revbar,Document Formatting Properties,Value,null
revdttm,Font (Character) Formatting Properties,Value,null
revdttmdel,Character Text,Value,null
revised,Font (Character) Formatting Properties,Toggle,toggle
revisions,Document Formatting Properties,Flag,null
revprop,Document Formatting Properties,Value,null
revprot,Document Formatting Properties,Flag,null
revtbl,Track Changes,Destination,null
revtim,Information Group,Destination,null
ri,Paragraph Formatting Properties,Value,null
rin,Paragraph Formatting Properties,Value,null
row,Special Characters,Symbol,null
rquote,Special Characters,Symbol,null
rsid,Track Changes (Revision Marks),Value,null
rsidroot,Track Changes (Revision Marks),Value,null
rsidtbl,Track Changes (Revision Marks),Destination,null
rsltbmp,Objects,Flag,null
rslthtml,Objects,Flag,null
rsltmerge,Objects,Flag,null
rsltpict,Objects,Flag,null
rsltrtf,Objects,Flag,null
rslttxt,Objects,Flag,null
rtf,RTF Version,Destination,null
rtlch,Font (Character) Formatting Properties,Flag,null
rtldoc,Document Formatting Properties,Flag,null
rtlgutter,Document Formatting Properties,Flag,null
rtlmark,Special Characters,Symbol,null
rtlpar,Paragraph Formatting Properties,Flag,null
rtlrow,Table Definitions,Flag,null
rtlsect,Section Formatting Properties,Flag,null
rxe,Index Entries,Destination,null
s,Paragraph Formatting Properties,Value,null
sa,Paragraph Formatting Properties,Value,null
saauto,Paragraph Formatting Properties,Toggle,toggle
saftnnalc,Section Formatting Properties,Flag,null
saftnnar,Section Formatting Properties,Flag,null
saftnnauc,Section Formatting Properties,Flag,null
saftnnchi,Section Formatting Properties,Flag,null
saftnnchosung,Section Formatting Properties,Flag,null
saftnncnum,Section Formatting Properties,Flag,null
saftnndbar,Section Formatting Properties,Flag,null
saftnndbnum,Section Formatting Properties,Flag,null
saftnndbnumd,Section Formatting Properties,Flag,null
saftnndbnumk,Section Formatting Properties,Flag,null
saftnndbnumt,Section Formatting Properties,Flag,null
saftnnganada,Section Formatting Properties,Flag,null
saftnngbnum,Section Formatting Properties,Flag,null
saftnngbnumd,Section Formatting Properties,Flag,null
saftnngbnumk,Section Formatting Properties,Flag,null
saftnngbnuml,Section Formatting Properties,Flag,null
saftnnrlc,Section Formatting Properties,Flag,null
saftnnruc,Section Formatting Properties,Flag,null
saftnnzodiac,Section Formatting Properties,Flag,null
saftnnzodiacd,Section Formatting Properties,Flag,null
saftnnzodiacl,Section Formatting Properties,Flag,null
saftnrestart,Section Formatting Properties,Flag,null
saftnrstcont,Section Formatting Properties,Flag,null
saftnstart,Section Formatting Properties,Flag,null
sautoupd,Style Sheet,Flag,null
saveinvalidxml,Document Formatting Properties,,null
sb,Paragraph Formatting Properties,Value,null
sbasedon,Style Sheet,Value,null
sbauto,Paragraph Formatting Properties,Toggle,toggle
sbkcol,Section Formatting Properties,Flag,null
sbkeven,Section Formatting Properties,Flag,null
sbknone,Section Formatting Properties,Flag,null
sbkodd,Section Formatting Properties,Flag,null
sbkpage,Section Formatting Properties,Flag,null
sbys,Paragraph Formatting Properties,Flag,null
scaps,Font (Character) Formatting Properties,Toggle,toggle_emph
scompose,Style Sheet,Flag,null
sec,Information Group,Value,null
sect,Special Characters,Symbol,null
sectd,Section Formatting Properties,Flag,null
sectdefaultcl,Section Formatting Properties,Value,null
sectexpand,Section Formatting Properties,Value,null
sectlinegrid,Section Formatting Properties,Value,null
sectnum,Special Characters,Symbol,null
sectrsid,Track Changes (Revision Marks),Value,null
sectspecifycl,Section Formatting Properties,Value,null
sectspecifygen,Section Formatting Properties,Flag,null
sectspecifyl,Section Formatting Properties,Value,null
sectunlocked,Section Formatting Properties,Flag,null
sftnbj,Section Formatting Properties,Flag,null
sftnnalc,Section Formatting Properties,Flag,null
sftnnar,Section Formatting Properties,Flag,null
sftnnauc,Section Formatting Properties,Flag,null
sftnnchi,Section Formatting Properties,Flag,null
sftnnchosung,Section Formatting Properties,Flag,null
sftnncnum,Section Formatting Properties,Flag,null
sftnndbar,Section Formatting Properties,Flag,null
sftnndbnum,Section Formatting Properties,Flag,null
sftnndbnumd,Section Formatting Properties,Flag,null
sftnndbnumk,Section Formatting Properties,Flag,null
sftnndbnumt,Section Formatting Properties,Flag,null
sftnnganada,Section Formatting Properties,Flag,null
sftnngbnum,Section Formatting Properties,Flag,null
sftnngbnumd,Section Formatting Properties,Flag,null
sftnngbnumk,Section Formatting Properties,Flag,null
sftnngbnuml,Section Formatting Properties,Flag,null
sftnnrlc,Section Formatting Properties,Flag,null
sftnnruc,Section Formatting Properties,Flag,null
sftnnzodiac,Section Formatting Properties,Flag,null
sftnnzodiacd,Section Formatting Properties,Flag,null
sftnnzodiacl,Section Formatting Properties,Flag,null
sftnrestart,Section Formatting Properties,Flag,null
sftnrstcont,Section Formatting Properties,Flag,null
sftnrstpg,Section Formatting Properties,Flag,null
sftnstart,Section Formatting Properties,Flag,null
sftntj,Section Formatting Properties,Flag,null
shad,Font (Character) Formatting Properties,Toggle,toggle
shading,Paragraph Shading,Value,null
shidden,Style Sheet,Flag,null
shift,Style Sheet,Flag,null
showplaceholdtext,Default Fonts,Value,null
showxmlerrors,Document Formatting Properties,Value,null
shp,Word through Word RTF for Drawing Objects (Shades),Destination,null
shpbottom,Word through Word RTF for Drawing Objects (Shades),Value,null
shpbxcolumn,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbxignore,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbxmargin,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbxpage,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbyignore,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbymargin,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbypage,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpbypara,Word through Word RTF for Drawing Objects (Shades),Flag,null
shpfblwtxt,Word through Word RTF for Drawing Objects (Shades),Value,null
shpfhdr,Word through Word RTF for Drawing Objects (Shades),Value,null
shpgrp,Word through Word RTF for Drawing Objects (Shades),Value,null
shpinst,Word through Word RTF for Drawing Objects (Shades),Destination,null
shpleft,Word through Word RTF for Drawing Objects (Shades),Value,null
shplid,Word through Word RTF for Drawing Objects (Shades),Value,null
shplockanchor,Word through Word RTF for Drawing Objects (Shades),Flag,null
shppict,Pictures,Destination,null
shpright,Word through Word RTF for Drawing Objects (Shades),Value,null
shprslt,Word through Word RTF for Drawing Objects (Shades),Value,null
shptop,Word through Word RTF for Drawing Objects (Shades),Value,null
shptxt,Word through Word RTF for Drawing Objects (Shades),Value,null
shpwr,Word through Word RTF for Drawing Objects (Shades),Value,null
shpwrk,Word through Word RTF for Drawing Objects (Shades),Value,null
shpz,Word through Word RTF for Drawing Objects (Shades),Value,null
sl,Paragraph Formatting Properties,Value,null
slink,Style Sheet,Value,null
slmult,Paragraph Formatting Properties,Value,null
slocked,Style Sheet,Flagged,null
sn,Word through Word RTF for Drawing Objects (Shades),Destination,null
snaptogridincell,Document Formatting Properties,Flag,null
snext,Style Sheet,Value,null
softcol,Special Characters,Flag,null
softlheight,Special Characters,Value,null
softline,Special Characters,Flag,null
softpage,Special Characters,Flag,null
sp,Word through Word RTF for Drawing Objects (Shades),Destination,null
spersonal,Style Sheet,Flag,null
spltpgpar,Document Formatting Properties,Flag,null
splytwnine,Document Formatting Properties,Flag,null
sprsbsp,Document Formatting Properties,Flag,null
sprslnsp,Document Formatting Properties,Flag,null
sprsspbf,Document Formatting Properties,Flag,null
sprstsm,Document Formatting Properties,Flag,null
sprstsp,Document Formatting Properties,Flag,null
spv,Paragraph Formatting Properties,Flag,null
sreply,Style Sheet,Flag,null
ssemihidden,Style Sheet,Flag,null
staticval,Information Group,Value,null
stextflow,Section Text,Value,null
strike,Font (Character) Formatting Properties,Toggle,toggle_emph
strikedl,Character Text,Toggle,toggle
stshfbi,Default Fonts,Value,null
stshfdbch,Default Fonts,Value,null
stshfhich,Default Fonts,Value,null
stshfloch,Default Fonts,Value,null
stylelock,Document Formatting Properties,Flag,null
stylelockbackcomp,Document Formatting Properties,Flag,null
stylelockenforced,Document Formatting Properties,Flag,null
stylesheet,Style Sheet,Destination,null
styrsid,Track Changes (Revision Marks),Value,null
sub,Font (Character) Formatting Properties,Flag,null
subdocument,Paragraph Formatting Properties,Value,null
subfontbysize,Document Formatting Properties,Flag,null
subject,Information Group,Destination,null
super,Font (Character) Formatting Properties,Flag,null
sv,Word through Word RTF for Drawing Objects (Shades),Destination,null
svb,Word through Word RTF for Drawing Objects (Shades),Destination,null
swpbdr,Document Formatting Properties,Flag,null
tab,Special Characters,Symbol,null
tabsnoovrlp,Table Definitions,Flag,null
taprtl,Table Definitions,Flag,null
tb,Tabs,Value,null
tbllkbestfit,Table Definitions,Flag,null
tbllkborder,Table Definitions,Flag,null
tbllkcolor,Table Definitions,Flag,null
tbllkfont,Table Definitions,Flag,null
tbllkhdrcols,Table Definitions,Flag,null
tbllkhdrrows,Table Definitions,Flag,null
tbllklastcol,Table Definitions,Flag,null
tbllklastrow,Table Definitions,Flag,null
tbllkshading,Table Definitions,Flag,null
tblrsid,Table Definitions,Flag,null
tc,Table of Contents Entries,Destination,null
tcelld,Table Definitions,Flag,null
tcf,Table of Contents Entries,Value,null
tcl,Table of Contents Entries,Value,null
tcn,Table of Contents Entries,Flag,null
tdfrmtxtBottom,Table Definitions,Value,null
tdfrmtxtLeft,Table Definitions,Value,null
tdfrmtxtRight,Table Definitions,Value,null
tdfrmtxtTop,Table Definitions,Value,null
template,Document Formatting Properties,Destination,null
time,Fields,Flag,null
title,Information Group,Destination,null
titlepg,Section Formatting Properties,Flag,null
tldot,Tabs,Flag,null
tleq,Tabs,Flag,null
tlhyph,Tabs,Flag,null
tlmdot,Tabs,Flag,null
tlth,Tabs,Flag,null
tlul,Tabs,Flag,null
toplinepunct,Document Formatting Properties,Flag,null
tphcol,Table Definitions,Flag,null
tphmrg,Table Definitions,Flag,null
tphpg,Table Definitions,Flag,null
tposnegx,Table Definitions,Value,null
tposnegy,Table Definitions,Value,null
tposX,Table Definitions,Value,null
tposxc,Table Definitions,Flag,null
tposxi,Table Definitions,Flag,null
tposxl,Table Definitions,Flag,null
tposxo,Table Definitions,Flag,null
tposxr,Table Definitions,Flag,null
tposy,Table Definitions,Flag,null
tposyb,Table Definitions,Flag,null
tposyc,Table Definitions,Flag,null
tposyil,Table Definitions,Flag,null
tposyin,Table Definitions,Flag,null
tposyoutv,Table Definitions,Flag,null
tposyt,Table Definitions,Flag,null
tpvmrg,Table Definitions,Flag,null
tpvpara,Table Definitions,Flag,null
tpvpg,Table Definitions,Flag,null
tqc,Tabs,Flag,null
tqdec,Tabs,Flag,null
tqr,Tabs,Flag,null
trackformatting,Document Formatting Properties,Value,null
trackmoves,Document Formatting Properties,Value,null
transmf,Document Formatting Properties,Flag,null
trappdt,Table Definitions,Value,null
trauth,Table Definitions,Value,null
trautofit,Table Definitions,Toggle,toggle
trbgbdiag,Table Definitions,Flag,null
trbgcross,Table Definitions,Flag,null
trbgdcross,Table Definitions,Flag,null
trbgdkbdiag,Table Definitions,Flag,null
trbgdkcross,Table Definitions,Flag,null
trbgdkdcross,Table Definitions,Flag,null
trbgdkfdiag,Table Definitions,Flag,null
trbgdkhor,Table Definitions,Flag,null
trbgdkvert,Table Definitions,Flag,null
trbgfdiag,Table Definitions,Flag,null
trbghoriz,Table Definitions,Flag,null
trbgvert,Table Definitions,Flag,null
trbrdrb,Table Definitions,Flag,null
trbrdrh,Table Definitions,Flag,null
trbrdrl,Table Definitions,Flag,null
trbrdrr,Table Definitions,Flag,null
trbrdrt,Table Definitions,Flag,null
trbrdrv,Table Definitions,Flag,null
trcbpat,Table Definitions,Value,null
trcfpat,Table Definitions,Value,null
trdate,Table Definitions,Value,null
trftsWidth,Table Definitions,Value,null
trftsWidthA,Table Definitions,Value,null
trftsWidthB,Table Definitions,Value,null
trgaph,Table Definitions,Value,null
trhdr,Table Definitions,Flag,null
trkeep,Table Definitions,Flag,null
trleft,Table Definitions,Value,null
trowd,Table Definitions,Flag,null
trpaddb,Table Definitions,Value,null
trpaddfb,Table Definitions,Value,null
trpaddfl,Table Definitions,Value,null
trpaddfr,Table Definitions,Value,null
trpaddft,Table Definitions,Value,null
trpaddl,Table Definitions,Value,null
trpaddr,Table Definitions,Value,null
trpat,Table Definitions,Value,null
trqc,Table Definitions,Flag,null
trql,Table Definitions,Flag,null
trqr,Table Definitions,Flag,null
trrh,Table Definitions,Value,null
trshdng,Table Definitions,Value,null
trspdb,Table Definitions,Value,null
trspdfb,Table Definitions,Value,null
trspdfl,Table Definitions,Value,null
trspdfr,Table Definitions,Value,null
trspdft,Table Definitions,Value,null
trspdl,Table Definitions,Value,null
trspdr,Table Definitions,Value,null
trspdt,Table Definitions,Value,null
truncatefontheight,Document Formatting Properties,Flag,null
trwWidth,Table Definitions,Value,null
trwWidthA,Table Definitions,Value,null
trwWidthB,Table Definitions,Value,null
ts,Style Sheet,Value,null
tsbgbdiag,Table Styles,Flag,null
tsbgcross,Table Styles,Flag,null
tsbgdcross,Table Styles,Flag,null
tsbgdkbdiag,Table Styles,Flag,null
tsbgdkcross,Table Styles,Flag,null
tsbgdkdcross,Table Styles,Flag,null
tsbgdkfdiag,Table Styles,Flag,null
tsbgdkhor,Table Styles,Flag,null
tsbgdkvert,Table Styles,Flag,null
tsbgfdiag,Table Styles,Flag,null
tsbghoriz,Table Styles,Flag,null
tsbgvert,Table Styles,Flag,null
tsbrdrb,Table Styles,Flag,null
tsbrdrdgl,Table Styles,Flag,null
tsbrdrdgr,Table Styles,Flag,null
tsbrdrh,Table Styles,Flag,null
tsbrdrl,Table Styles,Flag,null
tsbrdrr,Table Styles,Flag,null
tsbrdrr,Table Styles,Flag,null
tsbrdrt,Table Styles,Flag,null
tsbrdrv,Table Styles,Flag,null
tscbandhorzeven,Table Styles,Flag,null
tscbandhorzodd,Table Styles,Flag,null
tscbandsh,Table Styles,Flag,null
tscbandsv,Table Styles,Flag,null
tscbandverteven,Table Styles,Flag,null
tscbandvertodd,Table Styles,Flag,null
tscellcbpat,Table Styles,Value,null
tscellcfpat,Table Styles,Value,null
tscellpaddb,Table Styles,Value,null
tscellpaddfb,Table Styles,Value,null
tscellpaddfl,Table Styles,Value,null
tscellpaddfr,Table Styles,Value,null
tscellpaddft,Table Styles,Value,null
tscellpaddl,Table Styles,Value,null
tscellpaddr,Table Styles,Value,null
tscellpaddt,Table Styles,Value,null
tscellpct,Table Styles,Value,null
tscellwidth,Table Styles,Flag,null
tscellwidthfts,Table Styles,Flag,null
tscfirstcol,Table Styles,Flag,null
tscfirstrow,Table Styles,Flag,null
tsclastcol,Table Styles,Flag,null
tsclastrow,Table Styles,Flag,null
tscnecell,Table Styles,Flag,null
tscnwcell,Table Styles,Flag,null
tscsecell,Table Styles,Flag,null
